Gene,Function Count
SLCO4A1,0
SLPI,0
SLX4IP,1
SMIM26,0
SMOX,15
SNAI1,0
SNAP25,2
SNPH,12
SNRPB,0
SNRPB2,0
SNTA1,0
SNX5,0
SNX21,0
SOGA1,0
SOX12,18
SOX18,0
SPAG4,0
SPATA2,0
SPATA25,0
SPEF1,0
SPINT3,0
SPINT4,0
SPO11,0
SPTLC3,2
SRC,0
SRMS,0
SRSF6,0
SRXN1,2
SS18L1,0
SSTR4,0
STAU1,3
STK4,1
STK35,10
STMN3,0
STX16,0
SULF2,1
SUN5,0
SYCP2,0
SYNDIG1,0
SYS1,0
TAF4,1
TASP1,1
TBC1D20,78
TCEA2,1
TCF15,4
TCFL5,0
TFAP2C,0
TGIF2,0
TGM2,0
TGM3,8
TGM6,5
THBD,0
TLDC2,0
TM9SF4,3
TMC2,6
TMEM74B,0
TMEM189,1
TMEM230,5
TMEM239,0
TMX4,0
TNFRSF6B,3
TNNC2,0
TOMM34,0
TOP1,3
TOX2,3
TP53INP2,0
TP53RK,0
TP53TG5,0
TPD52L2,0
TPX2,0
TRE-CTC10-1,0
TRI-AAT12-1,0
TRIB3,56
TRL-AAG6-1,0
TRMT6,0
TRPC4AP,0
TRQ-CTG17-1,0
TRS-AGA7-1,0
TRV-CAC14-1,0
TSHZ2,3
TTI1,0
TTLL9,0
TTPAL,0
TUBB1,2
UBE2C,0
UBE2V1,0
UBOX5,2
UCKL1,0
UQCC1,8
VAPB,0
VPS16,0
VSTM2L,0
VSX1,0
WFDC2,0
WFDC3,0
WFDC5,0
WFDC6,0
WFDC8,0
WFDC9,0
WFDC10A,0
WFDC10B,0
WFDC11,0
WFDC12,0
WFDC13,0
WISP2,0
XKR7,0
XRN2,0
YTHDF1,0
YWHAB,0
ZBP1,0
ZBTB46,2
ZCCHC3,0
ZFP64,4
ZGPAT,4
ZHX3,6
ZMYND8,1
ZNF133,0
ZNF217,3
ZNF334,0
ZNF335,4
ZNF337,0
ZNF341,0
ZNF343,5
ZNF512B,0
ZNF831,12
ZNFX1,0
ZSWIM1,0
ZSWIM3,2
